"","UserID","MovieID","Rating","Timestamp","Gender","Age","Occupation_Code","occupation","Income_code","income_level","ZipCode"
"1",85,3793,3,979499859,"M",18,4,"college/grad_student",1,"low","94945"
"2",100,2409,3,977594483,"M",35,17,"technician/engineer",3,"high","95401"
"3",122,2409,2,993446239,"F",18,4,"college/grad_student",1,"low","94305"
"4",150,2987,4,977303156,"M",35,7,"executive/managerial",3,"high","98144"
"5",150,337,4,977303702,"M",35,7,"executive/managerial",3,"high","98144"
"6",150,3481,4,977304614,"M",35,7,"executive/managerial",3,"high","98144"
"7",150,1036,4,978161632,"M",35,7,"executive/managerial",3,"high","98144"
"8",162,2987,5,978995957,"F",18,4,"college/grad_student",1,"low","93117"
"9",162,3861,3,978996295,"F",18,4,"college/grad_student",1,"low","93117"
"10",162,3793,4,978995957,"F",18,4,"college/grad_student",1,"low","93117"
"11",162,10,3,977218629,"F",18,4,"college/grad_student",1,"low","93117"
"12",162,1036,5,978995291,"F",18,4,"college/grad_student",1,"low","93117"
"13",209,3861,3,976911466,"M",35,1,"academic/educator",2,"medium","90048"
"14",215,3793,5,977099259,"M",35,14,"sales/marketing",3,"high","92075"
"15",218,2987,4,976842686,"M",35,14,"sales/marketing",3,"high","95822"
"16",218,3793,5,976841936,"M",35,14,"sales/marketing",3,"high","95822"
"17",285,1028,3,1025213283,"F",35,0,"other",0,"other","94109"
"18",285,50,5,1025213282,"F",35,0,"other",0,"other","94109"
"19",336,1374,4,976361563,"M",18,0,"other",0,"other","98765"
"20",336,3481,5,976363288,"M",18,0,"other",0,"other","98765"
"21",524,2987,5,976164720,"M",18,0,"other",0,"other","91320"
"22",524,1260,4,976164683,"M",18,0,"other",0,"other","91320"
"23",524,912,5,976172491,"M",18,0,"other",0,"other","91320"
"24",524,2420,4,976170258,"M",18,0,"other",0,"other","91320"
"25",524,3481,5,976166216,"M",18,0,"other",0,"other","91320"
"26",524,306,5,976167418,"M",18,0,"other",0,"other","91320"
"27",524,1945,5,976171373,"M",18,0,"other",0,"other","91320"
"28",524,337,5,976168662,"M",18,0,"other",0,"other","91320"
"29",524,1036,5,976169445,"M",18,0,"other",0,"other","91320"
"30",524,2005,4,976170341,"M",18,0,"other",0,"other","91320"
"31",524,1211,4,976169445,"M",18,0,"other",0,"other","91320"
"32",524,1212,5,976172449,"M",18,0,"other",0,"other","91320"
"33",548,3793,4,976068350,"F",35,16,"self-employed",2,"medium","96860"
"34",548,3481,3,976068308,"F",35,16,"self-employed",2,"medium","96860"
"35",592,3793,5,975902706,"M",18,0,"other",0,"other","92103"
"36",592,50,5,975902839,"M",18,0,"other",0,"other","92103"
"37",614,1028,4,975807497,"M",35,1,"academic/educator",2,"medium","90024"
